A,C,M,TN,IV,SolidContent,Crosslinker,Pressure,PrintSpeed,n,Viscosity,LossTangent,NozzleSize,ChangeFilamentWidth,DiffusionRate,CollapseFactor,Printability,SwellingRate,CellViability,IncubationDay
0.5,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.33333333333333326,1.0,0.838235294117647,0.0,0.2634032634032635,1.0,1.0,0.5508976468063801,1.0,0.22480620155038755,0.02408344263318968,0.2941176470588234,1.0
0.5,0.25,0.0,0.0,0.0,0.4,0.0,0.33333333333333326,1.0,0.7647058823529411,0.013971272088457165,0.2867132867132868,1.0,0.5611510791366907,0.5005364423145697,0.4225,0.5348837209302325,0.015389419773905438,0.35294117647058787,1.0
0.5,0.5,0.0,0.0,0.0,0.5000000000000001,0.0,0.33333333333333326,1.0,0.36764705882352944,0.15730081636870932,0.2680652680652681,1.0,0.30935251798561153,0.5207066733423933,0.15,0.5271317829457365,0.007132596340016239,0.41176470588235237,1.0
0.5,0.75,0.0,0.0,0.0,0.6000000000000001,0.0,0.33333333333333326,1.0,0.4411764705882353,0.192504564086666,0.22610722610722608,1.0,0.2194244604316547,0.25327229811887564,0.05,0.6124031007751938,0.0,0.47058823529411686,1.0
0.5,0.0,1.0,0.0,0.0,0.7000000000000001,0.0,1.0,1.0,0.7794117647058824,0.0019083049154352244,0.3846153846153847,1.0,0.4964028776978417,0.4160646591803161,1.0,0.24806201550387597,0.2833302104802948,0.0,0.0
0.5,0.25,1.0,0.0,0.0,0.8,0.0,1.0,1.0,0.6323529411764706,0.11016086252626504,0.23076923076923075,1.0,0.07913669064748202,0.1289607324225735,0.0667,0.7364341085271316,0.2545999625257635,0.1764705882352935,0.0
0.5,0.5,1.0,0.0,0.0,0.9,0.0,1.0,1.0,0.19117647058823528,0.5697978023492128,0.10023310023310025,1.0,0.03237410071942446,0.008511551391173725,0.0,0.6511627906976744,0.18964461932421459,0.5294117647058822,0.0
0.5,0.75,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.11764705882352938,1.0,0.10955710955710954,1.0,0.0,0.0,0.0,0.689922480620155,0.15841608893885453,0.35294117647058787,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666665,0.0,0.6176470588235294,0.0023216561606558502,0.7016317016317016,0.0,0.3165467625899281,0.6406551748801945,1.0,0.0,0.408244332021735,0.6470588235294112,0.5714285714285714
0.125,0.0,0.0,1.0,0.0,0.20000000000000004,0.0,0.6666666666666665,0.0,0.5147058823529411,0.01903482484240984,0.5757575757575758,0.0,0.24460431654676257,0.6406551748801945,0.5,0.0,0.3457872712510149,0.7647058823529411,0.5714285714285714
0.25,0.25,0.0,0.5,0.0,0.35,0.0,0.6666666666666665,0.0,0.20588235294117646,0.13050187730357204,0.18414918414918416,0.0,0.14388489208633093,0.38187540233173595,0.075,0.627906976744186,0.2958216226344388,0.8823529411764701,0.5714285714285714
0.25,0.5,0.0,1.0,0.0,0.4,0.0,0.6666666666666665,0.0,0.19117647058823528,0.22664048775446935,0.10489510489510487,0.0,0.07553956834532374,0.16672627136828555,0.05,0.6589147286821705,0.2283679970020611,0.9411764705882346,0.5714285714285714
1.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.0,0.0,1.0,0.8410683748277792,0.007263270297268437,1.0,1.0,0.8417266187050361,1.0,0.7894,0.9999999999999999,0.053900443445131466,0.2941176470588234,1.0
0.75,0.0,0.0,0.0,0.25,0.7000000000000001,0.0,0.0,1.0,0.822010148944605,0.009274224105266782,0.9673659673659674,1.0,0.7302158273381296,0.7779844074100566,0.6263000000000001,0.7906976744186046,0.03678720879395417,0.41176470588235237,1.0
0.5,0.0,0.0,0.0,0.5,0.7000000000000001,0.0,0.0,1.0,0.7892703637435957,0.015169990699596982,0.8927738927738929,1.0,0.5431654676258993,0.4564051212359631,0.3901,0.49612403100775193,0.011991755667978266,0.5294117647058822,1.0
0.25,0.0,0.0,0.0,0.75,0.7000000000000001,0.0,0.0,1.0,0.7647058823529411,0.01783610623127002,0.9067599067599068,1.0,0.23741007194244607,0.3790859022959731,0.3333,0.41860465116279066,0.006020860658297423,0.6470588235294112,1.0
0.0,0.0,0.0,0.0,1.0,0.7000000000000001,0.0,0.0,1.0,0.7761669051522301,0.016292928249113017,0.8181818181818181,1.0,0.3489208633093525,0.42085687719047277,0.364,0.45736434108527124,0.009243644994066578,0.7647058823529411,1.0
0.125,0.75,0.0,1.0,0.0,0.4,0.0,0.6666666666666665,1.0,0.0,0.35015672901381284,0.0,1.0,0.06474820143884893,0.08168228309849081,0.032400000000000005,0.7441860465116278,0.13771781899943789,1.0,0.5714285714285714
0.125,1.0,0.0,0.0,0.0,0.4,0.0,0.6666666666666665,1.0,0.16176470588235292,0.2861699562536599,0.07319347319347322,1.0,0.06115107913669065,0.1165867963664974,0.0396,0.7131782945736433,0.17492973580663293,0.8235294117647056,0.5714285714285714
0.25,0.5,0.0,1.0,0.0,0.4,0.0,0.6666666666666665,1.0,0.20588235294117646,0.23925321208363476,0.0508158508158508,1.0,0.07553956834532374,0.15399470710249624,0.047400000000000005,0.6976744186046511,0.21482730622696894,0.8823529411764701,0.5714285714285714
0.25,0.75,0.0,0.0,0.0,0.4,0.0,0.6666666666666665,1.0,0.4117647058823529,0.09086493748062416,0.16177156177156174,1.0,0.12230215827338128,0.5254988913525499,0.1243,0.6201550387596899,0.610929985634876,0.7647058823529411,0.5714285714285714
0.375,0.25,0.0,1.0,0.0,0.4,0.0,0.6666666666666665,1.0,0.02941176470588233,0.20412662326478595,0.05734265734265734,1.0,0.08633093525179855,0.19326228452900368,0.0555,0.6434108527131782,0.2566860283555055,0.8235294117647056,0.5714285714285714
0.375,0.5,0.0,0.0,0.0,0.4,0.0,0.6666666666666665,1.0,0.6176470588235294,0.34718748923564463,0.28997668997669,1.0,0.06115107913669065,0.08304127029540088,0.0327,0.7209302325581395,0.13914183998501028,0.7058823529411757,0.5714285714285714
0.5,0.25,0.0,0.0,0.0,0.4,0.0,0.6666666666666665,1.0,1.0,0.05633288553615101,0.5738927738927739,1.0,0.23741007194244607,0.8903511909019384,0.1999,0.5426356589147286,1.0,0.6470588235294112,0.5714285714285714
